departamento,year,spi3_mean,spi3_min,spi3_floracion,spi3_desarrollo,spi3_cosecha,n_sequia,n_exceso,spi3_mean_lag1,spi3_min_lag1,spi3_floracion_lag1,spi3_desarrollo_lag1,spi3_cosecha_lag1,n_sequia_lag1,n_exceso_lag1
Narino,2000,-0.8794859491012383,-1.6213545893381347,-1.008824868854105,-0.5307880047096779,-1.2971859555894485,3,0,,,,,,,
Narino,2001,-1.439775139170149,-2.330366082942914,-1.4071557867465214,-2.0582080456103853,-1.1155892438286223,10,0,-0.8794859491012383,-1.6213545893381347,-1.008824868854105,-0.5307880047096779,-1.2971859555894485,3.0,0.0
Narino,2002,-0.48538041360946943,-1.4010876055777681,-0.20616868688291926,-0.5987556628420981,0.18864295158686162,2,0,-1.439775139170149,-2.330366082942914,-1.4071557867465214,-2.0582080456103853,-1.1155892438286223,10.0,0.0
Narino,2003,-0.651231378435576,-1.2721312264456341,-0.45043550732843063,-0.8673098434056534,0.1795355021671214,5,0,-0.48538041360946943,-1.4010876055777681,-0.20616868688291926,-0.5987556628420981,0.18864295158686162,2.0,0.0
Narino,2004,-0.49293350914231976,-1.0790023446986765,-0.41733542339639496,-0.546184390319305,-0.38033700688974587,1,0,-0.651231378435576,-1.2721312264456341,-0.45043550732843063,-0.8673098434056534,0.1795355021671214,5.0,0.0
Narino,2005,-0.7246356758712126,-1.0592472645365314,-0.5664319155704363,-0.7740582952892423,-0.5284060418587521,1,0,-0.49293350914231976,-1.0790023446986765,-0.41733542339639496,-0.546184390319305,-0.38033700688974587,1.0,0.0
Narino,2006,-0.4689532282406456,-1.073226302271067,-0.46484160447957024,-0.42757045603633115,-0.5354688591678031,1,0,-0.7246356758712126,-1.0592472645365314,-0.5664319155704363,-0.7740582952892423,-0.5284060418587521,1.0,0.0
Narino,2007,-0.1528488744252639,-0.7443845114880101,-0.3289359113540473,0.2161859595623788,-0.29215022024406595,0,0,-0.4689532282406456,-1.073226302271067,-0.46484160447957024,-0.42757045603633115,-0.5354688591678031,1.0,0.0
Narino,2008,0.0943281503388353,-0.6959920925013254,-0.05795771684133695,0.5963368535428843,-0.2555523156415654,0,0,-0.1528488744252639,-0.7443845114880101,-0.3289359113540473,0.2161859595623788,-0.29215022024406595,0.0,0.0
Narino,2009,-0.6581685209048235,-1.0570104327826029,-0.8430252081582481,-0.6642385153259751,-0.8686729455067116,2,0,0.0943281503388353,-0.6959920925013254,-0.05795771684133695,0.5963368535428843,-0.2555523156415654,0.0,0.0
Narino,2010,-0.18176490248190658,-0.9827139301542416,-0.5528037292408244,0.2906441786742583,-0.4958027956805701,1,0,-0.6581685209048235,-1.0570104327826029,-0.8430252081582481,-0.6642385153259751,-0.8686729455067116,2.0,0.0
Narino,2011,0.04160244162914182,-0.5111201925401558,0.016583302084088147,0.20711891946807992,-0.30787567644187336,0,0,-0.18176490248190658,-0.9827139301542416,-0.5528037292408244,0.2906441786742583,-0.4958027956805701,1.0,0.0
Narino,2012,-0.9041166049577143,-2.359940159273373,-0.7430831070923807,-1.2329313241344375,-0.9488897973829552,4,0,0.04160244162914182,-0.5111201925401558,0.016583302084088147,0.20711891946807992,-0.30787567644187336,0.0,0.0
Narino,2013,-0.39735552632949306,-0.8724582976334491,-0.49724745866792286,-0.1613218980721497,-0.7168759721841104,0,0,-0.9041166049577143,-2.359940159273373,-0.7430831070923807,-1.2329313241344375,-0.9488897973829552,4.0,0.0
Narino,2014,-0.2249494173820242,-0.6039619165434312,-0.15965681355452307,-0.061110233764057,-0.014084013525489986,0,0,-0.39735552632949306,-0.8724582976334491,-0.49724745866792286,-0.1613218980721497,-0.7168759721841104,0.0,0.0
Narino,2015,-0.8949474424610214,-1.5828059747347942,-0.892771866914026,-1.2704022020657408,-1.0312057623871838,5,0,-0.2249494173820242,-0.6039619165434312,-0.15965681355452307,-0.061110233764057,-0.014084013525489986,0.0,0.0
Narino,2016,-0.6022491902704085,-1.0221640070216595,-0.8892012447334152,-0.3197745272652431,-0.904610534541328,1,0,-0.8949474424610214,-1.5828059747347942,-0.892771866914026,-1.2704022020657408,-1.0312057623871838,5.0,0.0
Narino,2017,0.022783942695223335,-0.6345412819538044,-0.14371010292196212,0.4057931856517618,-0.2968393509412334,0,0,-0.6022491902704085,-1.0221640070216595,-0.8892012447334152,-0.3197745272652431,-0.904610534541328,1.0,0.0
Narino,2018,1.0505968726478576,-0.34611201692795124,1.476348610627265,0.5438447304079825,1.5100952273709514,0,5,0.022783942695223335,-0.6345412819538044,-0.14371010292196212,0.4057931856517618,-0.2968393509412334,0.0,0.0
Narino,2019,0.9431023699748909,-0.3882467439205061,1.0428906278592471,0.37915549936358106,1.573897819325671,0,2,1.0505968726478576,-0.34611201692795124,1.476348610627265,0.5438447304079825,1.5100952273709514,0.0,5.0
Narino,2020,1.0589318737572009,0.16432044591710507,0.7309174546655812,0.9717199218487613,0.5044484965614716,0,2,0.9431023699748909,-0.3882467439205061,1.0428906278592471,0.37915549936358106,1.573897819325671,0.0,2.0
Narino,2021,1.3846637647602353,0.9431391098434594,1.4340411560558288,1.4848744279782429,1.424680721788716,0,6,1.0589318737572009,0.16432044591710507,0.7309174546655812,0.9717199218487613,0.5044484965614716,0.0,2.0
Narino,2022,1.8705839867474923,-0.23285110201804488,2.0321678575187345,1.9487074786589127,1.894924333667494,0,11,1.3846637647602353,0.9431391098434594,1.4340411560558288,1.4848744279782429,1.424680721788716,0.0,6.0
Narino,2023,1.4608273869702646,0.13516112560698038,1.8363791998367918,1.1819798790445493,1.8107626900156646,0,7,1.8705839867474923,-0.23285110201804488,2.0321678575187345,1.9487074786589127,1.894924333667494,0.0,11.0
Narino,2024,0.971507673873321,-0.9054565723845447,0.9495136659645107,1.268913707605773,0.7805908166349838,0,3,1.4608273869702646,0.13516112560698038,1.8363791998367918,1.1819798790445493,1.8107626900156646,0.0,7.0
Quindio,2000,-1.377885479528086,-2.2352246675948932,-1.6272206482791054,-1.4194940915894605,-1.6778469666159246,6,0,,,,,,,
Quindio,2001,-1.3152859756772004,-2.1218237910593283,-1.2944198904157922,-1.1373829084012566,-1.0557409140238139,9,0,-1.377885479528086,-2.2352246675948932,-1.6272206482791054,-1.4194940915894605,-1.6778469666159246,6.0,0.0
Quindio,2002,0.10240664575093351,-0.6546686505534061,0.13627219153693274,0.31366154556534154,-0.11785446979377079,0,0,-1.3152859756772004,-2.1218237910593283,-1.2944198904157922,-1.1373829084012566,-1.0557409140238139,9.0,0.0
Quindio,2003,-0.7264418876361862,-1.8624761522297417,-0.5765537513010691,-1.0456594708549036,-0.7162675974815399,1,0,0.10240664575093351,-0.6546686505534061,0.13627219153693274,0.31366154556534154,-0.11785446979377079,0.0,0.0
Quindio,2004,-0.7656950056838432,-1.819821322565729,-0.5980330381943536,-0.48404036324352934,-0.566979408415023,2,0,-0.7264418876361862,-1.8624761522297417,-0.5765537513010691,-1.0456594708549036,-0.7162675974815399,1.0,0.0
Quindio,2005,-0.3460721221339295,-1.61337125573795,-0.3274090773495947,-0.6613134970063442,0.6641113820385661,2,0,-0.7656950056838432,-1.819821322565729,-0.5980330381943536,-0.48404036324352934,-0.566979408415023,2.0,0.0
Quindio,2006,-0.3423990138176713,-0.7324300395668016,-0.4518549510132601,-0.343766616731488,-0.27294414471564615,0,0,-0.3460721221339295,-1.61337125573795,-0.3274090773495947,-0.6613134970063442,0.6641113820385661,2.0,0.0
Quindio,2007,-0.04600495999181794,-0.8068188660218587,0.0939921011828497,0.30264581366084353,-0.06655437354922629,0,0,-0.3423990138176713,-0.7324300395668016,-0.4518549510132601,-0.343766616731488,-0.27294414471564615,0.0,0.0
Quindio,2008,-0.21576465349814514,-0.8538580348429948,-0.5399753823373246,0.1795149853472712,-0.4265360775041512,0,0,-0.04600495999181794,-0.8068188660218587,0.0939921011828497,0.30264581366084353,-0.06655437354922629,0.0,0.0
Quindio,2009,-0.8582099146553753,-1.8197264487837859,-1.3564723075794674,-0.6948672187154421,-1.627723992322255,5,0,-0.21576465349814514,-0.8538580348429948,-0.5399753823373246,0.1795149853472712,-0.4265360775041512,0.0,0.0
Quindio,2010,0.21172309150544696,-1.205427923833378,0.18387058115189653,1.10958170509863,-0.16492165821948138,1,1,-0.8582099146553753,-1.8197264487837859,-1.3564723075794674,-0.6948672187154421,-1.627723992322255,5.0,0.0
Quindio,2011,0.41777694005279886,-0.18133221516010695,0.6825287285150132,0.18099805313414402,0.7694623016469267,0,0,0.21172309150544696,-1.205427923833378,0.18387058115189653,1.10958170509863,-0.16492165821948138,1.0,1.0
Quindio,2012,-0.37904209987072696,-1.113714849918821,-0.3277759828875604,-0.6275133128897457,-0.7342395841209023,1,0,0.41777694005279886,-0.18133221516010695,0.6825287285150132,0.18099805313414402,0.7694623016469267,0.0,0.0
Quindio,2013,-0.3479134842450746,-1.0856414123410265,-0.3384552345107783,-0.2351584567222277,-0.40927936494041717,0,0,-0.37904209987072696,-1.113714849918821,-0.3277759828875604,-0.6275133128897457,-0.7342395841209023,1.0,0.0
Quindio,2014,-0.3484599581144425,-0.9326978122532832,-0.33843742664121257,-0.43440292368528366,-0.3350343720083065,0,0,-0.3479134842450746,-1.0856414123410265,-0.3384552345107783,-0.2351584567222277,-0.40927936494041717,0.0,0.0
Quindio,2015,-1.0985885631603713,-2.23032375919447,-1.0134882018847908,-1.561728999765689,-1.407412547557852,7,0,-0.3484599581144425,-0.9326978122532832,-0.33843742664121257,-0.43440292368528366,-0.3350343720083065,0.0,0.0
Quindio,2016,-0.7100922610820173,-1.626612045355647,-0.5184260367686211,-0.8120274652040079,0.04666558093884404,2,0,-1.0985885631603713,-2.23032375919447,-1.0134882018847908,-1.561728999765689,-1.407412547557852,7.0,0.0
Quindio,2017,-0.09075428814445363,-0.6225906134141831,-0.1617464811750193,0.13125412250150986,-0.5164144184609665,0,0,-0.7100922610820173,-1.626612045355647,-0.5184260367686211,-0.8120274652040079,0.04666558093884404,2.0,0.0
Quindio,2018,0.7964557918270329,-0.46772531069444245,1.2385878006539706,0.47575633694365305,1.575111085345867,0,3,-0.09075428814445363,-0.6225906134141831,-0.1617464811750193,0.13125412250150986,-0.5164144184609665,0.0,0.0
Quindio,2019,1.0394765432175235,-0.7546019897843655,1.4459761049773763,0.933990888554016,1.1197422472541936,0,5,0.7964557918270329,-0.46772531069444245,1.2385878006539706,0.47575633694365305,1.575111085345867,0.0,3.0
Quindio,2020,1.1518781942249656,0.02606567673388247,0.7914273819491182,0.8573789140449843,1.2739722467278785,0,5,1.0394765432175235,-0.7546019897843655,1.4459761049773763,0.933990888554016,1.1197422472541936,0.0,5.0
Quindio,2021,1.878276221769317,1.0514482842565782,1.9804022709305593,1.926516690603163,1.7910547053337555,0,11,1.1518781942249656,0.02606567673388247,0.7914273819491182,0.8573789140449843,1.2739722467278785,0.0,5.0
Quindio,2022,1.1836967932700817,0.25079447597909554,1.3271688699367594,1.0438810106310634,1.2802686536279253,0,4,1.878276221769317,1.0514482842565782,1.9804022709305593,1.926516690603163,1.7910547053337555,0.0,11.0
Quindio,2023,0.8285169224471473,-0.782778075997643,0.7700034540612474,0.2554104213429816,0.8705089350107512,0,2,1.1836967932700817,0.25079447597909554,1.3271688699367594,1.0438810106310634,1.2802686536279253,0.0,4.0
Quindio,2024,1.0921827382595322,0.11333249159140933,0.7991803460928688,1.7066684551499995,0.6893520806317491,0,5,0.8285169224471473,-0.782778075997643,0.7700034540612474,0.2554104213429816,0.8705089350107512,0.0,2.0
