departamento,municipio,año,area_cosechada_ha,produccion_t,rendimiento_kg_ha,anio
Quindio,CALARCA,2007,3776.0,4744.0,1260.0,2007
Quindio,QUIMBAYA,2007,2964.0,4164.0,1400.0,2007
Quindio,PIJAO,2007,2368.0,2585.0,1090.0,2007
Quindio,FILANDIA,2007,1920.0,2722.0,1420.0,2007
Quindio,CIRCASIA,2007,1874.0,2379.0,1270.0,2007
Quindio,ARMENIA,2007,1820.0,2608.0,1430.0,2007
Quindio,CORDOBA,2007,1328.0,1375.0,1040.0,2007
Quindio,BUENAVISTA,2007,990.0,1274.0,1290.0,2007
Quindio,MONTENEGRO,2007,930.0,1413.0,1520.0,2007
Quindio,GENOVA,2007,931.0,886.0,950.0,2007
Quindio,SALENTO,2007,611.0,589.0,960.0,2007
Quindio,LA TEBAIDA,2007,392.0,687.0,1750.0,2007
Quindio,CALARCA,2008,3711.0,4410.0,1190.0,2008
Quindio,QUIMBAYA,2008,2924.0,3886.0,1330.0,2008
Quindio,PIJAO,2008,2330.0,2406.0,1030.0,2008
Quindio,FILANDIA,2008,1902.0,2551.0,1340.0,2008
Quindio,CIRCASIA,2008,1807.0,2170.0,1200.0,2008
Quindio,ARMENIA,2008,1820.0,2467.0,1360.0,2008
Quindio,CORDOBA,2008,1307.0,1281.0,980.0,2008
Quindio,BUENAVISTA,2008,955.0,1163.0,1220.0,2008
Quindio,MONTENEGRO,2008,944.0,1357.0,1440.0,2008
Quindio,GENOVA,2008,916.0,825.0,900.0,2008
Quindio,SALENTO,2008,576.0,525.0,910.0,2008
Quindio,LA TEBAIDA,2008,379.0,628.0,1660.0,2008
Quindio,CALARCA,2009,3898.0,4430.0,1140.0,2009
Quindio,QUIMBAYA,2009,2727.0,3466.0,1270.0,2009
Quindio,PIJAO,2009,2278.0,2250.0,990.0,2009
Quindio,FILANDIA,2009,1837.0,2356.0,1280.0,2009
Quindio,CIRCASIA,2009,1801.0,2069.0,1150.0,2009
Quindio,ARMENIA,2009,1643.0,2130.0,1300.0,2009
Quindio,CORDOBA,2009,1226.0,1149.0,940.0,2009
Quindio,BUENAVISTA,2009,975.0,1135.0,1160.0,2009
Quindio,MONTENEGRO,2009,866.0,1190.0,1370.0,2009
Quindio,GENOVA,2009,854.0,735.0,860.0,2009
Quindio,SALENTO,2009,598.0,522.0,870.0,2009
Quindio,LA TEBAIDA,2009,349.0,553.0,1580.0,2009
Quindio,CALARCA,2010,3624.0,3825.0,1060.0,2010
Quindio,QUIMBAYA,2010,2690.0,3472.0,1290.0,2010
Quindio,PIJAO,2010,2173.0,2270.0,1040.0,2010
Quindio,FILANDIA,2010,1745.0,2077.0,1190.0,2010
Quindio,CIRCASIA,2010,1752.0,2176.0,1240.0,2010
Quindio,ARMENIA,2010,1541.0,1988.0,1290.0,2010
Quindio,CORDOBA,2010,1168.0,1190.0,1020.0,2010
Quindio,BUENAVISTA,2010,940.0,1202.0,1280.0,2010
Quindio,MONTENEGRO,2010,834.0,1192.0,1430.0,2010
Quindio,GENOVA,2010,787.0,732.0,930.0,2010
Quindio,SALENTO,2010,566.0,448.0,790.0,2010
Quindio,LA TEBAIDA,2010,339.0,493.0,1450.0,2010
Quindio,CALARCA,2011,3367.0,4022.0,1190.0,2011
Quindio,GENOVA,2011,2798.0,2160.0,770.0,2011
Quindio,QUIMBAYA,2011,2575.0,3089.0,1200.0,2011
Quindio,PIJAO,2011,2018.0,1751.0,870.0,2011
Quindio,CIRCASIA,2011,2072.0,2483.0,1200.0,2011
Quindio,FILANDIA,2011,1641.0,1471.0,900.0,2011
Quindio,ARMENIA,2011,1764.0,2116.0,1200.0,2011
Quindio,CORDOBA,2011,1320.0,1174.0,890.0,2011
Quindio,MONTENEGRO,2011,1060.0,1056.0,1000.0,2011
Quindio,BUENAVISTA,2011,781.0,777.0,1000.0,2011
Quindio,SALENTO,2011,340.0,271.0,800.0,2011
Quindio,LA TEBAIDA,2011,404.0,444.0,1100.0,2011
Quindio,CALARCA,2012,3322.0,3594.0,1080.0,2012
Quindio,GENOVA,2012,3780.0,2384.0,630.0,2012
Quindio,QUIMBAYA,2012,2304.0,2301.0,1000.0,2012
Quindio,PIJAO,2012,2630.0,1972.0,750.0,2012
Quindio,CIRCASIA,2012,1789.0,1428.0,800.0,2012
Quindio,FILANDIA,2012,1657.0,1318.0,800.0,2012
Quindio,ARMENIA,2012,1477.0,1473.0,1000.0,2012
Quindio,CORDOBA,2012,1640.0,1398.0,850.0,2012
Quindio,MONTENEGRO,2012,903.0,809.0,900.0,2012
Quindio,BUENAVISTA,2012,806.0,632.0,780.0,2012
Quindio,LA TEBAIDA,2012,339.0,373.0,1100.0,2012
Quindio,SALENTO,2012,463.0,347.0,750.0,2012
Quindio,CALARCA,2013,3216.0,3630.0,1130.0,2013
Quindio,GENOVA,2013,3632.0,2705.0,740.0,2013
Quindio,QUIMBAYA,2013,2387.0,2540.0,1060.0,2013
Quindio,PIJAO,2013,2635.0,2440.0,930.0,2013
Quindio,CIRCASIA,2013,1803.0,1919.0,1060.0,2013
Quindio,FILANDIA,2013,1713.0,1641.0,960.0,2013
Quindio,ARMENIA,2013,1565.0,1665.0,1060.0,2013
Quindio,CORDOBA,2013,1610.0,1542.0,960.0,2013
Quindio,MONTENEGRO,2013,958.0,1019.0,1060.0,2013
Quindio,BUENAVISTA,2013,845.0,719.0,850.0,2013
Quindio,SALENTO,2013,476.0,355.0,740.0,2013
Quindio,LA TEBAIDA,2013,362.0,424.0,1170.0,2013
Quindio,CALARCA,2014,3438.0,4196.0,1220.0,2014
Quindio,GENOVA,2014,3749.0,3019.0,810.0,2014
Quindio,QUIMBAYA,2014,2222.0,2557.0,1150.0,2014
Quindio,PIJAO,2014,2644.0,2647.0,1000.0,2014
Quindio,CIRCASIA,2014,1834.0,2110.0,1150.0,2014
Quindio,ARMENIA,2014,1480.0,1703.0,1150.0,2014
Quindio,FILANDIA,2014,1746.0,1808.0,1040.0,2014
Quindio,CORDOBA,2014,1615.0,1673.0,1040.0,2014
Quindio,MONTENEGRO,2014,984.0,1132.0,1150.0,2014
Quindio,BUENAVISTA,2014,907.0,835.0,920.0,2014
Quindio,SALENTO,2014,498.0,401.0,810.0,2014
Quindio,LA TEBAIDA,2014,345.0,437.0,1270.0,2014
Quindio,CALARCA,2015,3497.0,4081.0,1170.0,2015
Quindio,GENOVA,2015,3719.0,3785.0,1020.0,2015
Quindio,QUIMBAYA,2015,2179.0,3064.0,1410.0,2015
Quindio,PIJAO,2015,2678.0,2620.0,980.0,2015
Quindio,CIRCASIA,2015,1800.0,2097.0,1160.0,2015
Quindio,ARMENIA,2015,1436.0,2097.0,1460.0,2015
Quindio,FILANDIA,2015,1787.0,1914.0,1070.0,2015
Quindio,CORDOBA,2015,1478.0,1525.0,1030.0,2015
Quindio,MONTENEGRO,2015,1041.0,1354.0,1300.0,2015
Quindio,BUENAVISTA,2015,952.0,1076.0,1130.0,2015
Quindio,LA TEBAIDA,2015,443.0,563.0,1270.0,2015
Quindio,SALENTO,2015,482.0,518.0,1070.0,2015
Quindio,GENOVA,2016,3572.0,3760.0,1050.0,2016
Quindio,CALARCA,2016,3138.0,3788.0,1210.0,2016
Quindio,QUIMBAYA,2016,2025.0,2946.0,1450.0,2016
Quindio,PIJAO,2016,2398.0,2426.0,1010.0,2016
Quindio,CIRCASIA,2016,1699.0,2047.0,1200.0,2016
Quindio,ARMENIA,2016,1297.0,1959.0,1510.0,2016
Quindio,FILANDIA,2016,1676.0,1857.0,1110.0,2016
Quindio,CORDOBA,2016,1405.0,1499.0,1070.0,2016
Quindio,MONTENEGRO,2016,983.0,1322.0,1340.0,2016
Quindio,BUENAVISTA,2016,897.0,1050.0,1170.0,2016
Quindio,SALENTO,2016,550.0,610.0,1110.0,2016
Quindio,LA TEBAIDA,2016,400.0,527.0,1320.0,2016
Quindio,GENOVA,2017,3056.0,3347.0,1100.0,2017
Quindio,CALARCA,2017,2779.0,2845.0,1020.0,2017
Quindio,QUIMBAYA,2017,1990.0,2505.0,1260.0,2017
Quindio,PIJAO,2017,1915.0,2017.0,1050.0,2017
Quindio,CIRCASIA,2017,1497.0,1892.0,1260.0,2017
Quindio,ARMENIA,2017,1307.0,1355.0,1040.0,2017
Quindio,FILANDIA,2017,1419.0,1196.0,840.0,2017
Quindio,CORDOBA,2017,1222.0,1029.0,840.0,2017
Quindio,MONTENEGRO,2017,886.0,896.0,1010.0,2017
Quindio,BUENAVISTA,2017,708.0,728.0,1030.0,2017
Quindio,SALENTO,2017,545.0,597.0,1100.0,2017
Quindio,LA TEBAIDA,2017,376.0,383.0,1020.0,2017
Quindio,CALARCA,2018,2763.0,2893.0,1050.0,2018
Quindio,GENOVA,2018,2796.0,3132.0,1120.0,2018
Quindio,QUIMBAYA,2018,1765.0,2273.0,1290.0,2018
Quindio,CIRCASIA,2018,1448.0,1872.0,1290.0,2018
Quindio,ARMENIA,2018,1235.0,1310.0,1060.0,2018
Quindio,FILANDIA,2018,1375.0,1185.0,860.0,2018
Quindio,PIJAO,2018,1344.0,1448.0,1080.0,2018
Quindio,CORDOBA,2018,1229.0,1059.0,860.0,2018
Quindio,MONTENEGRO,2018,810.0,837.0,1030.0,2018
Quindio,BUENAVISTA,2018,734.0,771.0,1050.0,2018
Quindio,SALENTO,2018,560.0,628.0,1120.0,2018
Quindio,LA TEBAIDA,2018,316.0,330.0,1040.0,2018
Narino,LA UNION,2007,3684.0,7000.0,1900.0,2007
Narino,SAN LORENZO,2007,1796.0,2712.0,1510.0,2007
Narino,COLON,2007,1788.0,2682.0,1500.0,2007
Narino,BUESACO,2007,1800.0,1710.0,950.0,2007
Narino,CONSACA,2007,1637.0,1637.0,1000.0,2007
Narino,ALBAN,2007,1005.0,1440.0,1430.0,2007
Narino,SANDONA,2007,1327.0,1991.0,1500.0,2007
Narino,TAMINANGO,2007,1225.0,1139.0,930.0,2007
Narino,SAMANIEGO,2007,1185.0,1185.0,1000.0,2007
Narino,LA FLORIDA,2007,1026.0,1231.0,1200.0,2007
Narino,ARBOLEDA,2007,1040.0,1248.0,1200.0,2007
Narino,LOS ANDES,2007,869.0,873.0,1000.0,2007
Narino,SAN PABLO,2007,850.0,1445.0,1700.0,2007
Narino,LINARES,2007,640.0,768.0,1200.0,2007
Narino,EL TABLON,2007,570.0,622.0,1090.0,2007
Narino,LEIVA,2007,476.0,571.0,1200.0,2007
Narino,EL ROSARIO,2007,466.0,326.0,700.0,2007
Narino,EL TAMBO,2007,461.0,461.0,1000.0,2007
Narino,CHACHAGUI,2007,427.0,417.0,980.0,2007
Narino,EL PEÑOL,2007,380.0,380.0,1000.0,2007
Narino,SAN PEDRO DE CARTAGO,2007,319.0,415.0,1300.0,2007
Narino,ANCUYA,2007,255.0,288.0,1130.0,2007
Narino,SAN BERNARDO,2007,218.0,188.0,860.0,2007
Narino,PASTO,2007,180.0,260.0,1440.0,2007
Narino,POLICARPA,2007,100.0,70.0,700.0,2007
Narino,SANTACRUZ,2007,152.0,182.0,1200.0,2007
Narino,YACUANQUER,2007,127.0,125.0,980.0,2007
Narino,GUAITARILLA,2007,91.0,81.0,890.0,2007
Narino,PROVIDENCIA,2007,76.0,69.0,900.0,2007
Narino,LA CRUZ,2007,73.0,58.0,800.0,2007
Narino,CUMBITARA,2007,46.0,37.0,800.0,2007
Narino,MALLAMA,2007,41.0,27.0,650.0,2007
Narino,LA LLANADA,2007,32.0,47.0,1500.0,2007
Narino,BELEN,2007,33.0,30.0,900.0,2007
Narino,TANGUA,2007,25.0,13.0,500.0,2007
Narino,FUNES,2007,26.0,29.0,1100.0,2007
Narino,NARIÑO,2007,13.0,14.0,1100.0,2007
Narino,LA UNION,2008,4300.0,7095.0,1650.0,2008
Narino,SAN LORENZO,2008,2062.0,2681.0,1300.0,2008
Narino,COLON,2008,2201.0,3302.0,1500.0,2008
Narino,BUESACO,2008,1850.0,1850.0,1000.0,2008
Narino,CONSACA,2008,1449.0,2029.0,1400.0,2008
Narino,ALBAN,2008,1400.0,1960.0,1400.0,2008
Narino,SANDONA,2008,1100.0,1235.0,1120.0,2008
Narino,TAMINANGO,2008,1203.0,1022.0,850.0,2008
Narino,LA FLORIDA,2008,1025.0,718.0,700.0,2008
Narino,SAMANIEGO,2008,1115.0,851.0,760.0,2008
Narino,ARBOLEDA,2008,1040.0,1368.0,1320.0,2008
Narino,LOS ANDES,2008,869.0,887.0,1020.0,2008
Narino,EL ROSARIO,2008,260.0,182.0,700.0,2008
Narino,SAN PABLO,2008,850.0,1020.0,1200.0,2008
Narino,EL TABLON,2008,670.0,670.0,1000.0,2008
Narino,LINARES,2008,641.0,769.0,1200.0,2008
Narino,EL TAMBO,2008,491.0,491.0,1000.0,2008
Narino,LEIVA,2008,476.0,571.0,1200.0,2008
Narino,CHACHAGUI,2008,417.0,417.0,1000.0,2008
Narino,EL PEÑOL,2008,390.0,390.0,1000.0,2008
Narino,SAN PEDRO DE CARTAGO,2008,319.0,415.0,1300.0,2008
Narino,ANCUYA,2008,260.0,130.0,500.0,2008
Narino,PASTO,2008,180.0,252.0,1400.0,2008
Narino,SAN BERNARDO,2008,215.0,215.0,1000.0,2008
Narino,POLICARPA,2008,100.0,100.0,1000.0,2008
Narino,CUMBITARA,2008,50.0,50.0,1000.0,2008
Narino,SANTACRUZ,2008,144.0,115.0,800.0,2008
Narino,YACUANQUER,2008,117.0,129.0,1100.0,2008
Narino,GUAITARILLA,2008,90.0,59.0,650.0,2008
Narino,LA CRUZ,2008,74.0,59.0,800.0,2008
Narino,LA LLANADA,2008,38.0,57.0,1500.0,2008
Narino,FUNES,2008,29.0,33.0,1140.0,2008
Narino,MALLAMA,2008,56.0,56.0,1000.0,2008
Narino,PROVIDENCIA,2008,30.0,24.0,800.0,2008
Narino,NARIÑO,2008,14.0,14.0,1000.0,2008
Narino,BELEN,2008,32.0,29.0,900.0,2008
Narino,TANGUA,2008,13.0,6.0,500.0,2008
Narino,IMUES,2008,13.0,14.0,1080.0,2008
Narino,LA UNION,2009,3782.0,4338.0,1150.0,2009
Narino,SAN LORENZO,2009,2700.0,2700.0,1000.0,2009
Narino,COLON,2009,2200.0,2458.0,1120.0,2009
Narino,BUESACO,2009,1785.0,1250.0,700.0,2009
Narino,CONSACA,2009,1449.0,1739.0,1200.0,2009
Narino,SAMANIEGO,2009,1215.0,851.0,700.0,2009
Narino,SANDONA,2009,1132.0,1698.0,1500.0,2009
Narino,ALBAN,2009,1470.0,2205.0,1500.0,2009
Narino,TAMINANGO,2009,960.0,1248.0,1300.0,2009
Narino,ARBOLEDA,2009,1040.0,1040.0,1000.0,2009
Narino,LA FLORIDA,2009,1025.0,1230.0,1200.0,2009
Narino,LOS ANDES,2009,959.0,593.0,620.0,2009
Narino,EL ROSARIO,2009,513.0,515.0,1000.0,2009
Narino,SAN PABLO,2009,820.0,820.0,1000.0,2009
Narino,EL TABLON,2009,770.0,770.0,1000.0,2009
Narino,LINARES,2009,670.0,611.0,910.0,2009
Narino,EL TAMBO,2009,571.0,379.0,660.0,2009
Narino,LEIVA,2009,580.0,696.0,1200.0,2009
Narino,CHACHAGUI,2009,447.0,224.0,500.0,2009
Narino,EL PEÑOL,2009,390.0,390.0,1000.0,2009
Narino,SAN PEDRO DE CARTAGO,2009,358.0,430.0,1200.0,2009
Narino,SAN BERNARDO,2009,220.0,198.0,900.0,2009
Narino,PASTO,2009,220.0,312.0,1420.0,2009
Narino,POLICARPA,2009,170.0,34.0,200.0,2009
Narino,ANCUYA,2009,178.0,36.0,200.0,2009
Narino,CUMBITARA,2009,100.0,100.0,1000.0,2009
Narino,SANTACRUZ,2009,155.0,109.0,700.0,2009
Narino,YACUANQUER,2009,135.0,122.0,900.0,2009
Narino,GUAITARILLA,2009,86.0,52.0,600.0,2009
Narino,LA CRUZ,2009,79.0,63.0,800.0,2009
Narino,LA LLANADA,2009,38.0,38.0,1000.0,2009
Narino,FUNES,2009,58.0,63.0,1090.0,2009
Narino,MALLAMA,2009,57.0,68.0,1200.0,2009
Narino,NARIÑO,2009,16.0,6.0,380.0,2009
Narino,BELEN,2009,37.0,33.0,900.0,2009
Narino,TANGUA,2009,32.0,29.0,900.0,2009
Narino,PROVIDENCIA,2009,30.0,24.0,800.0,2009
Narino,IMUES,2009,15.0,14.0,900.0,2009
Narino,CUMBAL,2009,5.0,4.0,700.0,2009
Narino,LA UNION,2010,2814.0,3377.0,1200.0,2010
Narino,COLON,2010,2357.0,2318.0,980.0,2010
Narino,SAN LORENZO,2010,1580.0,1738.0,1100.0,2010
Narino,BUESACO,2010,1940.0,1940.0,1000.0,2010
Narino,CONSACA,2010,819.0,737.0,900.0,2010
Narino,SAMANIEGO,2010,1215.0,851.0,700.0,2010
Narino,ALBAN,2010,1250.0,1875.0,1500.0,2010
Narino,SANDONA,2010,1132.0,1358.0,1200.0,2010
Narino,ARBOLEDA,2010,1140.0,798.0,700.0,2010
Narino,EL ROSARIO,2010,972.0,875.0,900.0,2010
Narino,LA FLORIDA,2010,1039.0,1247.0,1200.0,2010
Narino,TAMINANGO,2010,580.0,1044.0,1800.0,2010
Narino,SAN PABLO,2010,590.0,708.0,1200.0,2010
Narino,EL TABLON,2010,760.0,760.0,1000.0,2010
Narino,LINARES,2010,670.0,651.0,970.0,2010
Narino,LOS ANDES,2010,604.0,302.0,500.0,2010
Narino,LEIVA,2010,587.0,704.0,1200.0,2010
Narino,EL TAMBO,2010,571.0,343.0,600.0,2010
Narino,EL PEÑOL,2010,440.0,460.0,1050.0,2010
Narino,CHACHAGUI,2010,427.0,427.0,1000.0,2010
Narino,POLICARPA,2010,190.0,84.0,440.0,2010
Narino,SAN PEDRO DE CARTAGO,2010,313.0,313.0,1000.0,2010
Narino,PASTO,2010,219.0,329.0,1500.0,2010
Narino,ANCUYA,2010,178.0,213.0,1200.0,2010
Narino,CUMBITARA,2010,140.0,126.0,900.0,2010
Narino,SANTACRUZ,2010,151.0,227.0,1500.0,2010
Narino,YACUANQUER,2010,131.0,157.0,1200.0,2010
Narino,GUAITARILLA,2010,135.0,83.0,610.0,2010
Narino,SAN BERNARDO,2010,105.0,95.0,900.0,2010
Narino,LA CRUZ,2010,84.0,67.0,800.0,2010
Narino,FUNES,2010,64.0,83.0,1300.0,2010
Narino,LA LLANADA,2010,64.0,64.0,1000.0,2010
Narino,MALLAMA,2010,59.0,59.0,1000.0,2010
Narino,TANGUA,2010,37.0,34.0,910.0,2010
Narino,NARIÑO,2010,42.0,38.0,900.0,2010
Narino,BELEN,2010,29.0,37.0,1280.0,2010
Narino,PROVIDENCIA,2010,30.0,24.0,800.0,2010
Narino,IPIALES,2010,18.0,23.0,1300.0,2010
Narino,IMUES,2010,18.0,19.0,1050.0,2010
Narino,CUMBAL,2010,9.0,6.0,700.0,2010
Narino,RICAURTE,2010,3.0,2.0,700.0,2010
Narino,COLON,2011,2997.0,2997.0,1000.0,2011
Narino,LA UNION,2011,2035.0,2442.0,1200.0,2011
Narino,SAN LORENZO,2011,1380.0,1380.0,1000.0,2011
Narino,BUESACO,2011,2140.0,2140.0,1000.0,2011
Narino,SAMANIEGO,2011,1450.0,1015.0,700.0,2011
Narino,CONSACA,2011,1705.0,1705.0,1000.0,2011
